No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
24,AMD A6-3500 APU,AMD A6-3500 APU with Radeon(tm) HD Graphics,FM1,2.1 GHz,2.4 GHz,3,3,65 W,"L1: 384 KB, L2: 3.0 MB,",,AMD A6-3500 APU with Radeon(tm) HD Graphics,Q3 2011,18.30,3079,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1371,951,"3,978 MOps/Sec","2,992 MOps/Sec",8 Million Primes/Sec,"3,659 Thousand Strings/Sec",345.1 MBytes/Sec,"29,713 KBytes/Sec",151 Frames/Sec,720 Million Matrices/Sec,951 MOps/Sec,951.0,720.0,2992.0,Desktop,,,,,,,
10,AMD A10-4600M APU,AMD A10-4600M APU with Radeon(tm) HD Graphics,FS1r2,2.3 GHz,3.2 GHz,4 (in 2 physical modules),,35 W,"L1: 320 KB, L2: 8.0 MB,",,AMD A10-4600M APU with Radeon(tm) HD Graphics,Q2 2012,32.62,2701,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1924,1068,"12,814 MOps/Sec","3,510 MOps/Sec",9 Million Primes/Sec,"4,013 Thousand Strings/Sec",566.4 MBytes/Sec,"30,522 KBytes/Sec",212 Frames/Sec,772 Million Matrices/Sec,"1,068 MOps/Sec",1068.0,772.0,3510.0,Laptop,,,,,,,
26,AMD A6-3620 APU,AMD A6-3620 APU with Radeon(tm) HD Graphics,FM1,2.2 GHz,2.5 GHz,4,4,65 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A6-3620 APU with Radeon(tm) HD Graphics,Q1 2012,81.98,2758,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1844,989,"5,413 MOps/Sec","4,068 MOps/Sec",9 Million Primes/Sec,"5,051 Thousand Strings/Sec",476.2 MBytes/Sec,"40,964 KBytes/Sec",177 Frames/Sec,969 Million Matrices/Sec,989 MOps/Sec,989.0,969.0,4068.0,Desktop,,,,,,,
1,Intel Core i7-2600 @ 3.40GHz,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",LGA1155,3.4 GHz,3.8 GHz,4,8,95 W,"L1: 256 KB, L2: 1.0 MB, L3: 8 MB",,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",Q4 2010,66.64,1553,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5331,1739,"20,831 MOps/Sec","7,768 MOps/Sec",24 Million Primes/Sec,"13,162 Thousand Strings/Sec","1,595 MBytes/Sec","90,116 KBytes/Sec",375 Frames/Sec,"3,898 Million Matrices/Sec","1,739 MOps/Sec",1739.0,3898.0,7768.0,Desktop,,,,,,,
41,AMD A8-5500 APU,AMD A8-5500 APU with Radeon(tm) HD Graphics,FM2,3.2 GHz,3.7 GHz,4 (in 2 physical modules),,65 W,"L1: 320 KB, L2: 8.0 MB,",,AMD A8-5500 APU with Radeon(tm) HD Graphics,Q2 2012,43.89,2331,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2587,1323,"17,509 MOps/Sec","4,671 MOps/Sec",10 Million Primes/Sec,"5,452 Thousand Strings/Sec",775.9 MBytes/Sec,"43,505 KBytes/Sec",235 Frames/Sec,"1,067 Million Matrices/Sec","1,323 MOps/Sec",1323.0,1067.0,4671.0,Desktop,,,,,,,
8,Intel Core i7-3820 @ 3.60GHz,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",LGA2011,3.6 GHz,3.8 GHz,4,8,130 W,"L1: 512 KB, L2: 2.0 MB,",,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",Q1 2012,58.04,1463,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5745,1740,"21,900 MOps/Sec","8,179 MOps/Sec",28 Million Primes/Sec,"13,995 Thousand Strings/Sec","1,710 MBytes/Sec","94,316 KBytes/Sec",522 Frames/Sec,"4,141 Million Matrices/Sec","1,740 MOps/Sec",1740.0,4141.0,8179.0,Desktop,,,,,,,
39,AMD A8-3870K APU,AMD A8-3870 APU with Radeon(tm) HD Graphics,FM1,3.0 GHz,,4,4,100 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3870 APU with Radeon(tm) HD Graphics,Q4 2011,33.76,2494,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2297,1213,"6,914 MOps/Sec","5,329 MOps/Sec",10 Million Primes/Sec,"6,343 Thousand Strings/Sec",587.5 MBytes/Sec,"51,805 KBytes/Sec",192 Frames/Sec,"1,254 Million Matrices/Sec","1,213 MOps/Sec",1213.0,1254.0,5329.0,Desktop,,,,,,,
18,AMD A4-3400 APU,AMD A4-3400 APU with Radeon(tm) HD Graphics,FM1,2.7 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB,",,AMD A4-3400 APU with Radeon(tm) HD Graphics,Q3 2011,13.49,3333,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1078,1077,"3,135 MOps/Sec","2,400 MOps/Sec",5 Million Primes/Sec,"2,941 Thousand Strings/Sec",274.5 MBytes/Sec,"23,577 KBytes/Sec",106 Frames/Sec,567 Million Matrices/Sec,"1,077 MOps/Sec",1077.0,567.0,2400.0,Desktop,,,,,,,
37,AMD A8-3820 APU,AMD A8-3820 APU with Radeon(tm) HD Graphics,FM1,2.5 GHz,2.8 GHz,4,4,65 W,"L1: 512 KB, L2: 4.0 MB,",,AMD A8-3820 APU with Radeon(tm) HD Graphics,Q1 2012,48.18,2570,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2166,1133,"6,513 MOps/Sec","5,063 MOps/Sec",11 Million Primes/Sec,"5,814 Thousand Strings/Sec",559.9 MBytes/Sec,"46,844 KBytes/Sec",204 Frames/Sec,"1,125 Million Matrices/Sec","1,133 MOps/Sec",1133.0,1125.0,5063.0,Desktop,,,,,,,
14,AMD A4-3300M APU,AMD A4-3300M APU with Radeon(tm) HD Graphics,FM1,1.9 GHz,2.5 GHz,2,2,65 W,"L1: 256 KB, L2: 2.0 MB,",,AMD A4-3300M APU with Radeon(tm) HD Graphics,Q3 2011,23.71,3723,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",711,789,"1,992 MOps/Sec","1,595 MOps/Sec",4 Million Primes/Sec,"2,042 Thousand Strings/Sec",186.1 MBytes/Sec,"16,242 KBytes/Sec",92 Frames/Sec,350 Million Matrices/Sec,789 MOps/Sec,789.0,350.0,1595.0,Laptop,,,,,,,
