No.,gpuname,GPU Name,GPU Variant,Release Date,Bus Interface,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Compute Units,Pixel Rate,Texture Rate,FP32 (float),TDP,FLOPS,Architecture,Foundry,Process Size,Transistors,Density,Die Size,Generation,Predecessor,Successor,Production,Reviews,GPU Clock,Bandwidth,Pixel Shaders,Vertex Shaders,TMUs,ROPs,Vertex Rate,Slot Width,Suggested PSU,Outputs,Power Connectors,Board Number,DirectX,OpenGL,OpenCL,Vulkan,Pixel Shader,Vertex Shader,Length,Shader Model,Chip Package,Launch Price,Shading Units,L2 Cache,FP16 (half),FP64 (double),Width,Height,Weight,Storage,Availability,SM Count,Tensor Cores,RT Cores,L1 Cache,CUDA,NVENC,NVDEC,Shader Clock,SMX Count,Codename,MCD Process,Process Type,GCD Transistors,MCD Transistors,GCD Density,MCD Density,GCD Die Size,MCD Die Size,L0 Cache,L3 Cache,SMM Count,GCD Size,MCD Size,Package Size,Game Clock,Execution Units,Current Price,Inputs,S-Spec
4,ATI Radeon 9800 XT,R360,"R360
										
(215R9RBKA11F)","Oct 1st, 2003",AGP 8x,,,"365 MHz
										
					730 Mbps effective",256 MB,DDR,256 bit,,3.296 GPixel/s,3.296 GTexel/s,,60 W,,R300,TSMC,150 nm,117 million,536.7K / mm²,218 mm²,"Radeon R300
(9800)",Radeon R200,Radeon R400 AGP,End-of-life,20 in our database,412 MHz,23.36 GB/s,8.0,4.0,8.0,8.0,412.0 MVertices/s,Single-slot,250 W,1x DVI1x VGA1x S-Video,1x Molex,A188,9.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ATI Radeon 9800 PRO,R350,"R350
										
(215R8PBKA12F)","Mar 1st, 2003",AGP 8x,,,"340 MHz
										
					680 Mbps effective",128 MB,DDR2,256 bit,,3.040 GPixel/s,3.040 GTexel/s,,47 W,,R300,TSMC,150 nm,117 million,544.2K / mm²,215 mm²,"Radeon R300
(9800)",Radeon R200,Radeon R400 AGP,End-of-life,20 in our database,380 MHz,21.76 GB/s,8.0,4.0,8.0,8.0,380.0 MVertices/s,Single-slot,200 W,1x DVI1x VGA1x S-Video,1x Molex,A075,9.0 (9_0),2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ATI All-In-Wonder 9800 SE,R350,R350 SE,"Sep 10th, 2003",AGP 8x,,,"297 MHz
										
					594 Mbps effective",128 MB,DDR,128 bit,,1.512 GPixel/s,1.512 GTexel/s,,unknown,,R300,TSMC,150 nm,117 million,544.2K / mm²,215 mm²,"All-In-Wonder
(9000)",,,End-of-life,20 in our database,378 MHz,9.504 GB/s,4.0,4.0,4.0,4.0,378.0 MVertices/s,Single-slot,200 W,1x DVI2x S-Video,,957-00,9.0 (9_0),2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NVIDIA GeForce 6800 Ultra,NV40,6800 Ultra,"Apr 14th, 2004",AGP 8x,,,"550 MHz
										
					1100 Mbps effective",256 MB,GDDR3,256 bit,,6.800 GPixel/s,6.800 GTexel/s,,unknown,,Curie,TSMC,130 nm,222 million,773.5K / mm²,287 mm²,"GeForce 6 AGP
(6800)",GeForce FX,GeForce 7 AGP,End-of-life,115 in our database,425 MHz,35.20 GB/s,16.0,6.0,16.0,16.0,637.5 MVertices/s,Single-slot,200 W,2x DVI1x S-Video,2x Molex,P201,9.0c (9_3),"2.0 (full)
					2.1 (partial)",,,,,"216 mm
					8.5 inches",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NVIDIA GeForce 6800 GT,NV40,6800 GT,"Apr 14th, 2004",AGP 8x,,,"250 MHz
										
					500 Mbps effective",128 MB,DDR,256 bit,,5.600 GPixel/s,5.600 GTexel/s,,unknown,,Curie,TSMC,130 nm,222 million,773.5K / mm²,287 mm²,"GeForce 6 AGP
(6800)",GeForce FX,GeForce 7 AGP,End-of-life,115 in our database,350 MHz,16.00 GB/s,16.0,6.0,16.0,16.0,525.0 MVertices/s,Single-slot,200 W,1x DVI1x VGA1x S-Video,1x Molex,"P201, P212",9.0c (9_3),"2.0 (full)
					2.1 (partial)",,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NVIDIA GeForce 6800,NV41,,"Nov 8th, 2004",PCIe 1.0 x16,,,"300 MHz
										
					600 Mbps effective",256 MB,DDR,256 bit,,3.900 GPixel/s,3.900 GTexel/s,,unknown,,Curie,TSMC,130 nm,222 million,986.7K / mm²,225 mm²,"GeForce 6 PCIe
(6800)",GeForce PCX,GeForce 7 PCIe,End-of-life,115 in our database,325 MHz,19.20 GB/s,12.0,5.0,12.0,12.0,406.3 MVertices/s,Single-slot,200 W,1x DVI1x VGA1x S-Video,,P260,9.0c (9_3),"2.0 (full)
					2.1 (partial)",,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NVIDIA GeForce 6800 LE,NV40,,"Jul 21st, 2004",AGP 8x,,,"350 MHz
										
					700 Mbps effective",128 MB,DDR,256 bit,,2.400 GPixel/s,2.400 GTexel/s,,unknown,,Curie,TSMC,130 nm,222 million,773.5K / mm²,287 mm²,"GeForce 6 AGP
(6800)",GeForce FX,GeForce 7 AGP,End-of-life,115 in our database,300 MHz,22.40 GB/s,8.0,4.0,8.0,8.0,300.0 MVertices/s,Single-slot,200 W,1x DVI1x VGA1x S-Video,1x Molex,P212,9.0c (9_3),"2.0 (full)
					2.1 (partial)",,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
